Player_Name,Title,Country,Date_of_Birth,Birthplace,World_Rank,Rapid_Rating,Blitz_Rating,Classical_Rating,Retired,Date_Collected
Alexandr Predke,GM,Russia,"Jan 5, 1994","Dimitrovgrad, Russia",48,2645,2642,2684,Active,2020-08-05
Maxim Matlakov,GM,Russia,"Mar 5, 1991","Leningrad, Russian SFSR, Soviet Union",47,2660,2760,2685,Active,2020-08-05
Igors Rausis,,Latvia,"Apr 7, 1961","Komunarsk, Ukrainian SSR, Soviet Union",46,2421,2527,2685,Active,2020-08-05
Bassem Amin,GM,Egypt,"Sep 9, 1988",Egypt,45,2608,2617,2686,Active,2020-08-05
Ivan Cheparinov,GM,Bulgaria,"Nov 26, 1986","Asenovgrad, Bulgaria",44,2638,2665,2686,Active,2020-08-05
Zoltan Almasi,GM,Hungary,"Aug 29, 1976",Hungary,43,2621,2585,2687,Active,2020-08-05
David Anton Guijarro,GM,Spain,"Jun 23, 1995","Madrid, Spain",42,2667,2622,2688,Active,2020-08-05
Anton Korobov,GM,Ukraine,"Jun 25, 1985","Mezhdurechensk, Kemerovo Oblast, Russian SFSR, Soviet Union",41,2794,2677,2688,Active,2020-08-05
Samuel Shankland,GM,United States,"Oct 1, 1991","Berkeley, California, U.S.",40,2609,2704,2691,Active,2020-08-05
Matthew D Sadler,GM,England,"May 15, 1974","Chatham, England",39,2673,2646,2694,Active,2020-08-05
Kirill Alekseenko,GM,Russia,"Jun 22, 1997","Vyborg, Russia",38,2661,2580,2696,Active,2020-08-05
Daniil Dubov,GM,Russia,"Apr 18, 1996","Moscow, Russia",37,2770,2722,2699,Active,2020-08-05
Bu Xiangzhi,GM,China,"Dec 10, 1985","Qingdao, Shandong, China",36,2642,2760,2705,Active,2020-08-05
Evgeny Tomashevsky,GM,Russia,"Jul 1, 1987","Saratov, Russian SFSR, USSR",35,2681,2695,2706,Active,2020-08-05
Michael Adams,GM,England,"Nov 17, 1971","Truro, Cornwall, England, UK",34,2684,2742,2706,Active,2020-08-05
Yu Yangyi,GM,China,"Jun 8, 1994","Huangshi, Hubei, China",33,2738,2808,2709,Active,2020-08-05
Jeffery Xiong,GM,United States,"Oct 30, 2000","Plano, Texas (US)",32,2730,2724,2709,Active,2020-08-05
Le Quang Liem,GM,Vietnam,"Mar 13, 1991","Ho Chi Minh City, Vietnam",31,2744,2690,2709,Active,2020-08-05
Francisco Vallejo Pons,GM,Spain,"Aug 21, 1982","Es Castell, Menorca (Spain)",30,2656,2615,2710,Active,2020-08-05
Vladislav Artemiev,GM,Russia,"Mar 5, 1998","Omsk, Russia",29,2769,2783,2716,Active,2020-08-05
Radoslaw Wojtaszek,GM,Poland,"Jan 13, 1987","Elbląg, Poland",28,2703,2730,2717,Active,2020-08-05
David Navara,GM,Czech Republic,"Mar 27, 1985","Prague, Czechoslovakia",27,2707,2737,2719,Active,2020-08-05
Nikita Vitiugov,GM,Russia,"Feb 4, 1987","Leningrad, Russian SFSR, USSR (now Saint Petersburg, Russia)",26,2616,2673,2722,Active,2020-08-05
Peter Svidler,GM,Russia,"Jun 17, 1976","Leningrad, Russian SFSR, Soviet Union",25,2742,2754,2723,Active,2020-08-05
Dmitry Andreikin,GM,Russia,"Feb 5, 1990","Ryazan, Russian SFSR, Soviet Union",24,2740,2782,2726,Active,2020-08-05
Santosh Gujrathi Vidit,GM,India,"Oct 24, 1994","Nashik, Maharashtra (India)",23,2636,2735,2726,Active,2020-08-05
Alireza Firouzja,GM,Iran,"Jun 18, 2003","Babol, Iran",22,2703,2770,2728,Active,2020-08-05
Pentala Harikrishna,GM,India,"May 10, 1986","Guntur, Andhra Pradesh, India",21,2705,2614,2732,Active,2020-08-05
Wei Yi,GM,China,"Jun 2, 1999","Yancheng, Jiangsu, China",20,2752,2686,2732,Active,2020-08-05
Veselin Topalov,GM,Bulgaria,"Mar 15, 1975","Ruse, Bulgaria",19,2707,2667,2735,Active,2020-08-05
Hikaru Nakamura,GM,United States,"Dec 9, 1987","Hirakata, Japan",18,2829,2900,2736,Active,2020-08-05
Sergey Karjakin,GM,Russia,"Jan 12, 1990","Simferopol, Ukrainian SSR, Soviet Union",17,2709,2765,2752,Active,2020-08-05
Viswanathan Anand,GM,India,"Dec 11, 1969","Mayiladuthurai, Tamil Nadu, India",16,2751,2785,2753,Active,2020-08-05
Magnus Carlsen,GM,Norway,"Nov 30, 1990","Tønsberg, Norway",1,2881,2886,2863,Active,2020-08-05
